overlap,bilstm_target_size,bilstm_avg_chunk_size,fixed_size,fixed_avg_chunk_size,delta_avg_chunk_size,bilstm_recall@1,fixed_recall@1,delta_recall@1,bilstm_recall@3,fixed_recall@3,delta_recall@3,bilstm_recall@5,fixed_recall@5,delta_recall@5
0,6,6.545,6,5.949,0.596,0.4236,0.4483,-0.0246,0.6601,0.6946,-0.0345,0.7537,0.7635,-0.0099
0,8,8.287,8,7.904,0.383,0.4729,0.4926,-0.0197,0.7143,0.7340,-0.0197,0.8276,0.7833,0.0443
0,10,10.065,10,9.861,0.204,0.5074,0.5320,-0.0246,0.7438,0.7635,-0.0197,0.8177,0.8227,-0.0049
0,12,11.901,12,11.777,0.124,0.5419,0.5172,0.0246,0.7094,0.7488,-0.0394,0.8522,0.8276,0.0246
0,15,14.747,15,14.661,0.087,0.5665,0.5616,0.0049,0.7980,0.7586,0.0394,0.8670,0.8079,0.0591
1,6,6.511,6,5.966,0.545,0.4384,0.4877,-0.0493,0.6404,0.6946,-0.0542,0.7931,0.7783,0.0148
1,8,8.358,8,7.929,0.429,0.4877,0.4926,-0.0049,0.7241,0.7241,0.0000,0.8227,0.7931,0.0296
1,10,10.173,10,9.881,0.292,0.5320,0.5271,0.0049,0.7438,0.7340,0.0099,0.8325,0.8079,0.0246
1,12,11.995,12,11.825,0.170,0.5074,0.5567,-0.0493,0.7537,0.7635,-0.0099,0.8276,0.8276,0.0000
1,15,14.838,15,14.708,0.130,0.5567,0.5862,-0.0296,0.7882,0.7882,0.0000,0.8374,0.8571,-0.0197
