method,model_type,embedding_model,boundary_embedding_model,retrieval_embedding_model,recall@1,recall@3,recall@5,recall_unconstrained@1,recall_unconstrained@3,recall_unconstrained@5,avg_chunk_size,n_chunks,fixed_size,fixed_overlap,semantic_policy,semantic_target_size,semantic_min_size,semantic_max_size,semantic_overlap,boundary_threshold
fixed,none,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,0.4483,0.6946,0.7635,0.4581,0.6995,0.7783,5.949,10054,6,0,,,,,,
fixed,none,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,0.4926,0.7340,0.7833,0.5025,0.7488,0.8079,7.904,7568,8,0,,,,,,
fixed,none,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,0.5320,0.7635,0.8227,0.5468,0.7833,0.8424,9.861,6066,10,0,,,,,,
fixed,none,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,0.5172,0.7488,0.8276,0.5320,0.7586,0.8374,11.777,5079,12,0,,,,,,
fixed,none,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,0.5616,0.7586,0.8079,0.5714,0.7783,0.8276,14.661,4080,15,0,,,,,,
bilstm,bilstm,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,0.4236,0.6601,0.7537,0.4384,0.6749,0.7685,6.545,9139,,,target,6,2,10,0,
bilstm,bilstm,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,0.4729,0.7143,0.8276,0.4926,0.7241,0.8374,8.287,7218,,,target,8,4,12,0,
bilstm,bilstm,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,0.5074,0.7438,0.8177,0.5222,0.7537,0.8276,10.065,5943,,,target,10,6,14,0,
bilstm,bilstm,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,0.5419,0.7094,0.8522,0.5567,0.7192,0.8522,11.901,5026,,,target,12,8,16,0,
bilstm,bilstm,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,0.5665,0.7980,0.8670,0.5813,0.8079,0.8719,14.747,4056,,,target,15,11,19,0,
transformer,transformer,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,0.4433,0.6700,0.7685,0.4581,0.6847,0.7833,6.350,9420,,,target,6,2,10,0,
transformer,transformer,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,0.4778,0.7094,0.7734,0.4877,0.7291,0.7980,8.143,7346,,,target,8,4,12,0,
transformer,transformer,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,0.5567,0.7438,0.8374,0.5714,0.7635,0.8522,10.031,5963,,,target,10,6,14,0,
transformer,transformer,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,0.5271,0.7537,0.8522,0.5369,0.7685,0.8768,11.911,5022,,,target,12,8,16,0,
transformer,transformer,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,0.5862,0.7685,0.8374,0.5862,0.7833,0.8522,14.787,4045,,,target,15,11,19,0,
fixed,none,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,0.4877,0.6946,0.7783,0.4975,0.7094,0.8030,5.966,12005,6,1,,,,,,
fixed,none,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,0.4926,0.7241,0.7931,0.5074,0.7389,0.8128,7.929,8604,8,1,,,,,,
fixed,none,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,0.5271,0.7340,0.8079,0.5369,0.7537,0.8325,9.881,6713,10,1,,,,,,
fixed,none,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,0.5567,0.7635,0.8276,0.5567,0.7734,0.8522,11.825,5507,12,1,,,,,,
