threshold,precision,recall,f1,n_pred_pos,tp,fp,fn
0.0100,0.0889,1.0000,0.1632,16027,1424,14603,0
0.0200,0.0889,1.0000,0.1632,16027,1424,14603,0
0.0300,0.0889,1.0000,0.1632,16027,1424,14603,0
0.0400,0.0889,1.0000,0.1632,16027,1424,14603,0
0.0500,0.0889,1.0000,0.1632,16027,1424,14603,0
0.0600,0.0889,1.0000,0.1632,16027,1424,14603,0
0.0700,0.0889,1.0000,0.1632,16027,1424,14603,0
0.0800,0.0889,1.0000,0.1632,16027,1424,14603,0
0.0900,0.0889,1.0000,0.1632,16027,1424,14603,0
0.1000,0.0889,1.0000,0.1632,16027,1424,14603,0
0.1100,0.0889,1.0000,0.1632,16027,1424,14603,0
0.1200,0.0889,1.0000,0.1632,16027,1424,14603,0
0.1300,0.0889,1.0000,0.1632,16027,1424,14603,0
0.1400,0.0889,1.0000,0.1632,16027,1424,14603,0
0.1500,0.0889,1.0000,0.1632,16027,1424,14603,0
0.1600,0.0889,1.0000,0.1632,16027,1424,14603,0
0.1700,0.0889,1.0000,0.1632,16027,1424,14603,0
0.1800,0.0889,1.0000,0.1632,16027,1424,14603,0
0.1900,0.0889,1.0000,0.1632,16027,1424,14603,0
0.2000,0.0889,1.0000,0.1632,16027,1424,14603,0
0.2100,0.0889,1.0000,0.1632,16027,1424,14603,0
0.2200,0.0889,1.0000,0.1632,16027,1424,14603,0
0.2300,0.0889,1.0000,0.1632,16027,1424,14603,0
0.2400,0.0889,1.0000,0.1632,16027,1424,14603,0
0.2500,0.0889,1.0000,0.1632,16027,1424,14603,0
0.2600,0.0889,1.0000,0.1632,16027,1424,14603,0
0.2700,0.0889,1.0000,0.1632,16027,1424,14603,0
0.2800,0.0889,1.0000,0.1632,16027,1424,14603,0
0.2900,0.0889,1.0000,0.1632,16027,1424,14603,0
0.3000,0.0889,1.0000,0.1632,16027,1424,14603,0
0.3100,0.0889,1.0000,0.1632,16027,1424,14603,0
0.3200,0.0889,1.0000,0.1632,16027,1424,14603,0
0.3300,0.0889,1.0000,0.1632,16027,1424,14603,0
0.3400,0.0889,1.0000,0.1632,16027,1424,14603,0
0.3500,0.0889,1.0000,0.1632,16027,1424,14603,0
0.3600,0.0889,1.0000,0.1632,16027,1424,14603,0
0.3700,0.0889,1.0000,0.1632,16027,1424,14603,0
0.3800,0.0889,1.0000,0.1632,16027,1424,14603,0
0.3900,0.0889,1.0000,0.1632,16027,1424,14603,0
0.4000,0.0889,1.0000,0.1632,16027,1424,14603,0
0.4100,0.0889,1.0000,0.1632,16027,1424,14603,0
0.4200,0.0889,1.0000,0.1632,16027,1424,14603,0
0.4300,0.0889,1.0000,0.1632,16027,1424,14603,0
0.4400,0.0889,1.0000,0.1632,16027,1424,14603,0
0.4500,0.0889,1.0000,0.1632,16027,1424,14603,0
0.4600,0.0889,1.0000,0.1632,16027,1424,14603,0
0.4700,0.0889,1.0000,0.1632,16027,1424,14603,0
0.4800,0.0895,0.9607,0.1637,15287,1368,13919,56
0.4900,0.0954,0.8574,0.1717,12795,1221,11574,203
0.5000,0.1042,0.7058,0.1816,9647,1005,8642,419
0.5100,0.1151,0.5730,0.1917,7091,816,6275,608
0.5200,0.1192,0.5056,0.1929,6041,720,5321,704
0.5300,0.1293,0.4354,0.1994,4794,620,4174,804
0.5400,0.1314,0.3919,0.1968,4246,558,3688,866
0.5500,0.1444,0.3287,0.2007,3240,468,2772,956
0.5600,0.1446,0.2774,0.1901,2731,395,2336,1029
0.5700,0.1495,0.2570,0.1890,2448,366,2082,1058
0.5800,0.1578,0.2310,0.1875,2085,329,1756,1095
0.5900,0.1669,0.2107,0.1862,1798,300,1498,1124
0.6000,0.1780,0.1798,0.1789,1438,256,1182,1168
0.6100,0.1815,0.1587,0.1694,1245,226,1019,1198
0.6200,0.1891,0.1419,0.1621,1068,202,866,1222
0.6300,0.1841,0.1152,0.1417,891,164,727,1260
0.6400,0.1691,0.0723,0.1013,609,103,506,1321
0.6500,0.1794,0.0576,0.0872,457,82,375,1342
0.6600,0.1765,0.0337,0.0566,272,48,224,1376
0.6700,0.1511,0.0147,0.0269,139,21,118,1403
0.6800,0.2037,0.0077,0.0149,54,11,43,1413
0.6900,0.0000,0.0000,0.0000,0,0,0,1424
0.7000,0.0000,0.0000,0.0000,0,0,0,1424
0.7100,0.0000,0.0000,0.0000,0,0,0,1424
0.7200,0.0000,0.0000,0.0000,0,0,0,1424
0.7300,0.0000,0.0000,0.0000,0,0,0,1424
0.7400,0.0000,0.0000,0.0000,0,0,0,1424
0.7500,0.0000,0.0000,0.0000,0,0,0,1424
0.7600,0.0000,0.0000,0.0000,0,0,0,1424
0.7700,0.0000,0.0000,0.0000,0,0,0,1424
0.7800,0.0000,0.0000,0.0000,0,0,0,1424
0.7900,0.0000,0.0000,0.0000,0,0,0,1424
0.8000,0.0000,0.0000,0.0000,0,0,0,1424
