method,chunk_config,avg_chunk_size,n_chunks,bge_recall@1,bm25_recall@1,rrf_recall@1,rrf_minus_bge@1,rrf_minus_bm25@1,bge_recall@3,bm25_recall@3,rrf_recall@3,rrf_minus_bge@3,rrf_minus_bm25@3,bge_recall@5,bm25_recall@5,rrf_recall@5,rrf_minus_bge@5,rrf_minus_bm25@5
fixed,"fixed_size=6,overlap=0",5.949,10054,0.5320,0.3941,0.5517,0.0197,0.1576,0.7586,0.6256,0.7340,-0.0246,0.1084,0.8473,0.6946,0.8325,-0.0148,0.1379
fixed,"fixed_size=8,overlap=0",7.904,7568,0.5813,0.4187,0.5517,-0.0296,0.1330,0.8079,0.6502,0.7931,-0.0148,0.1429,0.8571,0.7291,0.8621,0.0049,0.1330
fixed,"fixed_size=10,overlap=0",9.861,6066,0.5714,0.4532,0.5764,0.0049,0.1232,0.7931,0.6453,0.7882,-0.0049,0.1429,0.8670,0.7685,0.8522,-0.0148,0.0837
fixed,"fixed_size=12,overlap=0",11.777,5079,0.6256,0.4384,0.5665,-0.0591,0.1281,0.7980,0.6502,0.7685,-0.0296,0.1182,0.8916,0.7537,0.8522,-0.0394,0.0985
fixed,"fixed_size=15,overlap=0",14.661,4080,0.6502,0.5320,0.6404,-0.0099,0.1084,0.8473,0.6995,0.7980,-0.0493,0.0985,0.9212,0.7882,0.8867,-0.0345,0.0985
bilstm,"target=6,min=2,max=10,overlap=0",6.545,9139,0.5517,0.3744,0.5025,-0.0493,0.1281,0.7635,0.5665,0.7192,-0.0443,0.1527,0.8325,0.6749,0.7931,-0.0394,0.1182
bilstm,"target=8,min=4,max=12,overlap=0",8.287,7218,0.5517,0.4236,0.5616,0.0099,0.1379,0.8030,0.6552,0.7291,-0.0739,0.0739,0.8818,0.7291,0.8424,-0.0394,0.1133
bilstm,"target=10,min=6,max=14,overlap=0",10.065,5943,0.5911,0.4433,0.5714,-0.0197,0.1281,0.8227,0.6601,0.7488,-0.0739,0.0887,0.8719,0.7488,0.8424,-0.0296,0.0936
bilstm,"target=12,min=8,max=16,overlap=0",11.901,5026,0.6059,0.4581,0.6108,0.0049,0.1527,0.8128,0.6798,0.7882,-0.0246,0.1084,0.8768,0.7635,0.8621,-0.0148,0.0985
bilstm,"target=15,min=11,max=19,overlap=0",14.747,4056,0.6552,0.5025,0.6355,-0.0197,0.1330,0.8227,0.7094,0.8177,-0.0049,0.1084,0.9015,0.8030,0.8719,-0.0296,0.0690
