retriever,method,model_type,embedding_model,boundary_embedding_model,retrieval_embedding_model,recall@1,recall@3,recall@5,recall_unconstrained@1,recall_unconstrained@3,recall_unconstrained@5,avg_chunk_size,n_chunks,fixed_size,fixed_overlap,semantic_policy,semantic_target_size,semantic_min_size,semantic_max_size,semantic_overlap,boundary_threshold,rrf_k,fuse_depth
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5320,0.7586,0.8473,0.5517,0.7734,0.8621,5.949,10054,6,0,,,,,,,,
bm25,fixed,none,none,sentence-transformers/all-MiniLM-L6-v2,none,0.3941,0.6256,0.6946,0.3990,0.6355,0.7044,5.949,10054,6,0,,,,,,,,
rrf,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5517,0.7340,0.8325,0.5665,0.7340,0.8374,5.949,10054,6,0,,,,,,,60,50
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5813,0.8079,0.8571,0.5961,0.8227,0.8719,7.904,7568,8,0,,,,,,,,
bm25,fixed,none,none,sentence-transformers/all-MiniLM-L6-v2,none,0.4187,0.6502,0.7291,0.4286,0.6601,0.7488,7.904,7568,8,0,,,,,,,,
rrf,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5517,0.7931,0.8621,0.5665,0.7931,0.8719,7.904,7568,8,0,,,,,,,60,50
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5714,0.7931,0.8670,0.5911,0.8030,0.8719,9.861,6066,10,0,,,,,,,,
bm25,fixed,none,none,sentence-transformers/all-MiniLM-L6-v2,none,0.4532,0.6453,0.7685,0.4631,0.6650,0.7833,9.861,6066,10,0,,,,,,,,
rrf,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5764,0.7882,0.8522,0.5911,0.7980,0.8571,9.861,6066,10,0,,,,,,,60,50
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6256,0.7980,0.8916,0.6404,0.8128,0.9015,11.777,5079,12,0,,,,,,,,
bm25,fixed,none,none,sentence-transformers/all-MiniLM-L6-v2,none,0.4384,0.6502,0.7537,0.4433,0.6650,0.7685,11.777,5079,12,0,,,,,,,,
rrf,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5665,0.7685,0.8522,0.5714,0.7734,0.8571,11.777,5079,12,0,,,,,,,60,50
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6502,0.8473,0.9212,0.6700,0.8621,0.9310,14.661,4080,15,0,,,,,,,,
bm25,fixed,none,none,sentence-transformers/all-MiniLM-L6-v2,none,0.5320,0.6995,0.7882,0.5468,0.7143,0.8079,14.661,4080,15,0,,,,,,,,
rrf,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6404,0.7980,0.8867,0.6601,0.8079,0.8867,14.661,4080,15,0,,,,,,,60,50
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5517,0.7635,0.8325,0.5665,0.7734,0.8424,6.545,9139,,,target,6,2,10,0,,,
bm25,bilstm,bilstm,none,sentence-transformers/all-MiniLM-L6-v2,none,0.3744,0.5665,0.6749,0.3744,0.5862,0.6946,6.545,9139,,,target,6,2,10,0,,,
rrf,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5025,0.7192,0.7931,0.5074,0.7241,0.8030,6.545,9139,,,target,6,2,10,0,,60,50
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5517,0.8030,0.8818,0.5714,0.8128,0.8916,8.287,7218,,,target,8,4,12,0,,,
bm25,bilstm,bilstm,none,sentence-transformers/all-MiniLM-L6-v2,none,0.4236,0.6552,0.7291,0.4286,0.6650,0.7438,8.287,7218,,,target,8,4,12,0,,,
rrf,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5616,0.7291,0.8424,0.5714,0.7340,0.8473,8.287,7218,,,target,8,4,12,0,,60,50
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5911,0.8227,0.8719,0.6059,0.8276,0.8818,10.065,5943,,,target,10,6,14,0,,,
bm25,bilstm,bilstm,none,sentence-transformers/all-MiniLM-L6-v2,none,0.4433,0.6601,0.7488,0.4483,0.6700,0.7586,10.065,5943,,,target,10,6,14,0,,,
rrf,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5714,0.7488,0.8424,0.5813,0.7537,0.8473,10.065,5943,,,target,10,6,14,0,,60,50
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6059,0.8128,0.8768,0.6207,0.8177,0.8818,11.901,5026,,,target,12,8,16,0,,,
bm25,bilstm,bilstm,none,sentence-transformers/all-MiniLM-L6-v2,none,0.4581,0.6798,0.7635,0.4680,0.6995,0.7833,11.901,5026,,,target,12,8,16,0,,,
rrf,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6108,0.7882,0.8621,0.6207,0.7882,0.8621,11.901,5026,,,target,12,8,16,0,,60,50
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6552,0.8227,0.9015,0.6798,0.8325,0.9064,14.747,4056,,,target,15,11,19,0,,,
bm25,bilstm,bilstm,none,sentence-transformers/all-MiniLM-L6-v2,none,0.5025,0.7094,0.8030,0.5025,0.7340,0.8227,14.747,4056,,,target,15,11,19,0,,,
rrf,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6355,0.8177,0.8719,0.6453,0.8276,0.8768,14.747,4056,,,target,15,11,19,0,,60,50
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5813,0.7783,0.8571,0.5911,0.7931,0.8670,6.350,9420,,,target,6,2,10,0,,,
bm25,transformer,transformer,none,sentence-transformers/all-MiniLM-L6-v2,none,0.3596,0.5961,0.6897,0.3695,0.6108,0.7044,6.350,9420,,,target,6,2,10,0,,,
rrf,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5517,0.7438,0.8374,0.5616,0.7537,0.8473,6.350,9420,,,target,6,2,10,0,,60,50
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5517,0.7931,0.8473,0.5665,0.8030,0.8522,8.143,7346,,,target,8,4,12,0,,,
bm25,transformer,transformer,none,sentence-transformers/all-MiniLM-L6-v2,none,0.3941,0.6453,0.7340,0.4039,0.6552,0.7438,8.143,7346,,,target,8,4,12,0,,,
rrf,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5665,0.7488,0.8325,0.5764,0.7537,0.8424,8.143,7346,,,target,8,4,12,0,,60,50
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6305,0.7734,0.8621,0.6453,0.7833,0.8670,10.031,5963,,,target,10,6,14,0,,,
bm25,transformer,transformer,none,sentence-transformers/all-MiniLM-L6-v2,none,0.4236,0.6502,0.7488,0.4286,0.6650,0.7586,10.031,5963,,,target,10,6,14,0,,,
rrf,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6010,0.7488,0.8227,0.6108,0.7586,0.8325,10.031,5963,,,target,10,6,14,0,,60,50
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6305,0.8030,0.8867,0.6404,0.8177,0.8916,11.911,5022,,,target,12,8,16,0,,,
bm25,transformer,transformer,none,sentence-transformers/all-MiniLM-L6-v2,none,0.4680,0.6946,0.7833,0.4680,0.7094,0.8030,11.911,5022,,,target,12,8,16,0,,,
rrf,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5961,0.7980,0.8621,0.6108,0.8079,0.8670,11.911,5022,,,target,12,8,16,0,,60,50
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6601,0.8522,0.9163,0.6700,0.8670,0.9261,14.787,4045,,,target,15,11,19,0,,,
bm25,transformer,transformer,none,sentence-transformers/all-MiniLM-L6-v2,none,0.5172,0.7094,0.7734,0.5172,0.7192,0.7833,14.787,4045,,,target,15,11,19,0,,,
rrf,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6108,0.8030,0.8719,0.6207,0.8079,0.8768,14.787,4045,,,target,15,11,19,0,,60,50
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5222,0.7833,0.8571,0.5320,0.7980,0.8719,5.966,12005,6,1,,,,,,,,
bm25,fixed,none,none,sentence-transformers/all-MiniLM-L6-v2,none,0.3744,0.5764,0.6700,0.3793,0.5862,0.6897,5.966,12005,6,1,,,,,,,,
rrf,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5419,0.7537,0.8177,0.5517,0.7586,0.8227,5.966,12005,6,1,,,,,,,60,50
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6305,0.7783,0.8424,0.6404,0.7882,0.8571,7.929,8604,8,1,,,,,,,,
bm25,fixed,none,none,sentence-transformers/all-MiniLM-L6-v2,none,0.4138,0.6798,0.7291,0.4187,0.6897,0.7389,7.929,8604,8,1,,,,,,,,
rrf,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5862,0.7980,0.8522,0.5961,0.7980,0.8522,7.929,8604,8,1,,,,,,,60,50
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5961,0.7635,0.8571,0.6158,0.7783,0.8719,9.881,6713,10,1,,,,,,,,
bm25,fixed,none,none,sentence-transformers/all-MiniLM-L6-v2,none,0.4778,0.6650,0.7734,0.4828,0.6700,0.7833,9.881,6713,10,1,,,,,,,,
rrf,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6010,0.7931,0.8571,0.6207,0.7931,0.8670,9.881,6713,10,1,,,,,,,60,50
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6207,0.8177,0.8818,0.6355,0.8325,0.8916,11.825,5507,12,1,,,,,,,,
bm25,fixed,none,none,sentence-transformers/all-MiniLM-L6-v2,none,0.4778,0.6847,0.7882,0.4828,0.6995,0.7980,11.825,5507,12,1,,,,,,,,
rrf,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6355,0.7980,0.8571,0.6502,0.8128,0.8571,11.825,5507,12,1,,,,,,,60,50
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6700,0.8424,0.9064,0.6798,0.8522,0.9064,14.708,4349,15,1,,,,,,,,
bm25,fixed,none,none,sentence-transformers/all-MiniLM-L6-v2,none,0.4877,0.7094,0.7931,0.4975,0.7241,0.8079,14.708,4349,15,1,,,,,,,,
rrf,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6404,0.7882,0.8522,0.6601,0.7980,0.8571,14.708,4349,15,1,,,,,,,60,50
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5123,0.7389,0.8276,0.5271,0.7586,0.8424,6.511,10817,,,target,6,2,10,1,,,
bm25,bilstm,bilstm,none,sentence-transformers/all-MiniLM-L6-v2,none,0.3892,0.6059,0.6995,0.3892,0.6207,0.7143,6.511,10817,,,target,6,2,10,1,,,
rrf,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5320,0.7192,0.7931,0.5369,0.7291,0.8079,6.511,10817,,,target,6,2,10,1,,60,50
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5369,0.7833,0.8571,0.5567,0.7980,0.8719,8.358,8102,,,target,8,4,12,1,,,
bm25,bilstm,bilstm,none,sentence-transformers/all-MiniLM-L6-v2,none,0.4039,0.6700,0.7488,0.4089,0.6847,0.7635,8.358,8102,,,target,8,4,12,1,,,
rrf,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5862,0.7438,0.8424,0.5911,0.7537,0.8473,8.358,8102,,,target,8,4,12,1,,60,50
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5862,0.8177,0.8719,0.6010,0.8276,0.8768,10.173,6499,,,target,10,6,14,1,,,
bm25,bilstm,bilstm,none,sentence-transformers/all-MiniLM-L6-v2,none,0.4581,0.6601,0.7438,0.4581,0.6700,0.7537,10.173,6499,,,target,10,6,14,1,,,
rrf,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5911,0.7635,0.8473,0.6010,0.7635,0.8522,10.173,6499,,,target,10,6,14,1,,60,50
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6059,0.8177,0.8818,0.6207,0.8276,0.8916,11.995,5422,,,target,12,8,16,1,,,
bm25,bilstm,bilstm,none,sentence-transformers/all-MiniLM-L6-v2,none,0.4828,0.7094,0.7685,0.4877,0.7241,0.7882,11.995,5422,,,target,12,8,16,1,,,
rrf,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6502,0.7685,0.8522,0.6601,0.7734,0.8571,11.995,5422,,,target,12,8,16,1,,60,50
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6207,0.8128,0.8867,0.6404,0.8227,0.8916,14.838,4308,,,target,15,11,19,1,,,
bm25,bilstm,bilstm,none,sentence-transformers/all-MiniLM-L6-v2,none,0.4926,0.7094,0.7783,0.4975,0.7291,0.8030,14.838,4308,,,target,15,11,19,1,,,
rrf,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6207,0.8079,0.8768,0.6305,0.8177,0.8818,14.838,4308,,,target,15,11,19,1,,60,50
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5714,0.7734,0.8374,0.5911,0.7783,0.8424,6.255,11344,,,target,6,2,10,1,,,
bm25,transformer,transformer,none,sentence-transformers/all-MiniLM-L6-v2,none,0.3842,0.6059,0.6946,0.3941,0.6158,0.7044,6.255,11344,,,target,6,2,10,1,,,
rrf,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5764,0.7438,0.8227,0.5911,0.7586,0.8374,6.255,11344,,,target,6,2,10,1,,60,50
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5862,0.7537,0.8177,0.6059,0.7635,0.8374,8.251,8222,,,target,8,4,12,1,,,
bm25,transformer,transformer,none,sentence-transformers/all-MiniLM-L6-v2,none,0.4187,0.6355,0.7389,0.4236,0.6453,0.7488,8.251,8222,,,target,8,4,12,1,,,
rrf,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5714,0.7586,0.8522,0.5911,0.7734,0.8621,8.251,8222,,,target,8,4,12,1,,60,50
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5862,0.7685,0.8424,0.5961,0.7783,0.8571,10.085,6562,,,target,10,6,14,1,,,
bm25,transformer,transformer,none,sentence-transformers/all-MiniLM-L6-v2,none,0.4483,0.6453,0.7389,0.4581,0.6552,0.7488,10.085,6562,,,target,10,6,14,1,,,
rrf,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5862,0.7537,0.8424,0.6010,0.7685,0.8522,10.085,6562,,,target,10,6,14,1,,60,50
