method,chunk_config,avg_chunk_size,n_chunks,pool_recall@20,pool_recall@50,bge_recall@1,rerank20_recall@1,rerank50_recall@1,rerank20_minus_bge@1,rerank50_minus_bge@1,bge_recall@3,rerank20_recall@3,rerank50_recall@3,rerank20_minus_bge@3,rerank50_minus_bge@3,bge_recall@5,rerank20_recall@5,rerank50_recall@5,rerank20_minus_bge@5,rerank50_minus_bge@5
fixed,"fixed_size=6,overlap=0",5.949,10054,0.9507,0.9803,0.5320,0.6453,0.5813,0.1133,0.0493,0.7586,0.7882,0.7833,0.0296,0.0246,0.8473,0.8670,0.8374,0.0197,-0.0099
fixed,"fixed_size=8,overlap=0",7.904,7568,0.9606,0.9852,0.5813,0.5911,0.5665,0.0099,-0.0148,0.8079,0.7882,0.7635,-0.0197,-0.0443,0.8571,0.8424,0.8374,-0.0148,-0.0197
fixed,"fixed_size=10,overlap=0",9.861,6066,0.9655,0.9803,0.5714,0.6650,0.6502,0.0936,0.0788,0.7931,0.8374,0.8276,0.0443,0.0345,0.8670,0.8867,0.8916,0.0197,0.0246
fixed,"fixed_size=12,overlap=0",11.777,5079,0.9704,0.9852,0.6256,0.6601,0.6256,0.0345,0.0000,0.7980,0.8276,0.8325,0.0296,0.0345,0.8916,0.8768,0.8768,-0.0148,-0.0148
fixed,"fixed_size=15,overlap=0",14.661,4080,0.9704,0.9901,0.6502,0.6601,0.6305,0.0099,-0.0197,0.8473,0.8374,0.8030,-0.0099,-0.0443,0.9212,0.8966,0.8867,-0.0246,-0.0345
bilstm,"target=6,min=2,max=10,overlap=0",6.545,9139,0.9458,0.9852,0.5517,0.6256,0.6108,0.0739,0.0591,0.7635,0.7931,0.7882,0.0296,0.0246,0.8325,0.8571,0.8571,0.0246,0.0246
bilstm,"target=8,min=4,max=12,overlap=0",8.287,7218,0.9557,0.9852,0.5517,0.6453,0.6355,0.0936,0.0837,0.8030,0.8325,0.8325,0.0296,0.0296,0.8818,0.8916,0.8867,0.0099,0.0049
bilstm,"target=10,min=6,max=14,overlap=0",10.065,5943,0.9458,0.9754,0.5911,0.6650,0.6552,0.0739,0.0640,0.8227,0.8177,0.8325,-0.0049,0.0099,0.8719,0.8867,0.8818,0.0148,0.0099
bilstm,"target=12,min=8,max=16,overlap=0",11.901,5026,0.9655,0.9901,0.6059,0.6355,0.6256,0.0296,0.0197,0.8128,0.7980,0.8030,-0.0148,-0.0099,0.8768,0.8966,0.9064,0.0197,0.0296
bilstm,"target=15,min=11,max=19,overlap=0",14.747,4056,0.9754,1.0000,0.6552,0.6453,0.6256,-0.0099,-0.0296,0.8227,0.8473,0.8424,0.0246,0.0197,0.9015,0.9064,0.9015,0.0049,0.0000
transformer,"target=6,min=2,max=10,overlap=0",6.350,9420,0.9704,0.9754,0.5813,0.6108,0.6059,0.0296,0.0246,0.7783,0.8325,0.7931,0.0542,0.0148,0.8571,0.8768,0.8719,0.0197,0.0148
transformer,"target=8,min=4,max=12,overlap=0",8.143,7346,0.9606,0.9803,0.5517,0.6158,0.6010,0.0640,0.0493,0.7931,0.8079,0.7931,0.0148,0.0000,0.8473,0.8670,0.8670,0.0197,0.0197
transformer,"target=10,min=6,max=14,overlap=0",10.031,5963,0.9754,0.9852,0.6305,0.6355,0.6108,0.0049,-0.0197,0.7734,0.8325,0.8177,0.0591,0.0443,0.8621,0.8916,0.8768,0.0296,0.0148
transformer,"target=12,min=8,max=16,overlap=0",11.911,5022,0.9901,1.0000,0.6305,0.6700,0.6502,0.0394,0.0197,0.8030,0.8571,0.8325,0.0542,0.0296,0.8867,0.9163,0.9015,0.0296,0.0148
transformer,"target=15,min=11,max=19,overlap=0",14.787,4045,0.9852,1.0000,0.6601,0.6355,0.6158,-0.0246,-0.0443,0.8522,0.8325,0.8128,-0.0197,-0.0394,0.9163,0.9015,0.8768,-0.0148,-0.0394
fixed,"fixed_size=6,overlap=1",5.966,12005,0.9606,0.9754,0.5222,0.6108,0.5567,0.0887,0.0345,0.7833,0.7833,0.7635,0.0000,-0.0197,0.8571,0.8473,0.8276,-0.0099,-0.0296
fixed,"fixed_size=8,overlap=1",7.929,8604,0.9458,0.9754,0.6305,0.6305,0.6010,0.0000,-0.0296,0.7783,0.8227,0.8325,0.0443,0.0542,0.8424,0.8719,0.8719,0.0296,0.0296
fixed,"fixed_size=10,overlap=1",9.881,6713,0.9704,0.9852,0.5961,0.6355,0.6059,0.0394,0.0099,0.7635,0.8276,0.8325,0.0640,0.0690,0.8571,0.8966,0.9064,0.0394,0.0493
fixed,"fixed_size=12,overlap=1",11.825,5507,0.9655,0.9803,0.6207,0.6601,0.6404,0.0394,0.0197,0.8177,0.8522,0.8473,0.0345,0.0296,0.8818,0.9113,0.9113,0.0296,0.0296
fixed,"fixed_size=15,overlap=1",14.708,4349,0.9803,0.9951,0.6700,0.6404,0.6404,-0.0296,-0.0296,0.8424,0.8621,0.8473,0.0197,0.0049,0.9064,0.9310,0.9163,0.0246,0.0099
bilstm,"target=6,min=2,max=10,overlap=1",6.511,10817,0.9409,0.9852,0.5123,0.6207,0.6059,0.1084,0.0936,0.7389,0.7882,0.7833,0.0493,0.0443,0.8276,0.8374,0.8522,0.0099,0.0246
bilstm,"target=8,min=4,max=12,overlap=1",8.358,8102,0.9606,0.9803,0.5369,0.6158,0.6158,0.0788,0.0788,0.7833,0.8473,0.8030,0.0640,0.0197,0.8571,0.8818,0.8818,0.0246,0.0246
bilstm,"target=10,min=6,max=14,overlap=1",10.173,6499,0.9704,0.9852,0.5862,0.6502,0.6355,0.0640,0.0493,0.8177,0.8522,0.8276,0.0345,0.0099,0.8719,0.8966,0.8867,0.0246,0.0148
bilstm,"target=12,min=8,max=16,overlap=1",11.995,5422,0.9606,0.9754,0.6059,0.6601,0.6502,0.0542,0.0443,0.8177,0.8424,0.8424,0.0246,0.0246,0.8818,0.8916,0.8818,0.0099,0.0000
