arm,method,chunk_config,stage5_n_chunks,stage6_n_chunks,delta_n_chunks,stage5_avg_chunk_size,stage6_avg_chunk_size,stage5_recall@1,stage6_recall@1,delta_recall@1,stage5_recall@3,stage6_recall@3,delta_recall@3,stage5_recall@5,stage6_recall@5,delta_recall@5
bge,fixed,"fixed_size=6,overlap=0",10054,10054,0,5.949,5.949,0.5320,0.5320,0.0000,0.7586,0.7586,0.0000,0.8473,0.8473,0.0000
rerank20,fixed,"fixed_size=6,overlap=0",10054,10054,0,5.949,5.949,0.6453,0.6453,0.0000,0.7882,0.7882,0.0000,0.8670,0.8670,0.0000
bge,fixed,"fixed_size=8,overlap=0",7568,7568,0,7.904,7.904,0.5813,0.5813,0.0000,0.8079,0.8079,0.0000,0.8571,0.8571,0.0000
bge,fixed,"fixed_size=10,overlap=0",6066,6066,0,9.861,9.861,0.5714,0.5714,0.0000,0.7931,0.7931,0.0000,0.8670,0.8670,0.0000
bge,fixed,"fixed_size=12,overlap=0",5079,5079,0,11.777,11.777,0.6256,0.6256,0.0000,0.7980,0.7980,0.0000,0.8916,0.8916,0.0000
bge,fixed,"fixed_size=15,overlap=0",4080,4080,0,14.661,14.661,0.6502,0.6502,0.0000,0.8473,0.8473,0.0000,0.9212,0.9212,0.0000
rerank20,fixed,"fixed_size=15,overlap=0",4080,4080,0,14.661,14.661,0.6601,0.6601,0.0000,0.8374,0.8374,0.0000,0.8966,0.8966,0.0000
bge,bilstm,"target=6,min=2,max=10,overlap=0",9139,9139,0,6.545,6.545,0.5517,0.5517,0.0000,0.7635,0.7635,0.0000,0.8325,0.8325,0.0000
bge,bilstm,"target=8,min=4,max=12,overlap=0",7218,7218,0,8.287,8.287,0.5517,0.5517,0.0000,0.8030,0.8030,0.0000,0.8818,0.8818,0.0000
bge,bilstm,"target=10,min=6,max=14,overlap=0",5943,5943,0,10.065,10.065,0.5911,0.5911,0.0000,0.8227,0.8227,0.0000,0.8719,0.8719,0.0000
