nominal_size,overlap,recall5_fixed,recall5_bilstm,recall5_transformer,method_spread@5,avg_size_fixed,avg_size_bilstm,avg_size_transformer
6,0,0.8700,0.8567,0.8767,0.0200,5.9274,6.5388,6.3372
6,1,0.8867,0.8733,0.8667,0.0200,5.9512,6.4838,6.1850
8,0,0.8833,0.8933,0.8900,0.0100,7.8694,8.2508,8.1867
8,1,0.8900,0.8900,0.8833,0.0067,7.8973,8.3761,8.2365
10,0,0.8800,0.8800,0.9000,0.0200,9.7940,10.0595,10.0300
10,1,0.9000,0.9100,0.8833,0.0267,9.8410,10.1427,10.0829
12,0,0.9167,0.9100,0.9067,0.0100,11.6945,11.9039,11.8867
12,1,0.9167,0.9100,0.9033,0.0133,11.7377,12.0049,11.9487
15,0,0.9100,0.9033,0.9067,0.0067,14.5018,14.7435,14.7522
15,1,0.9067,0.9200,0.9000,0.0200,14.5501,14.7966,14.7792
